1: result: 22816, correct: 22816, passed: yes
2: result: 67065, correct: 67065, passed: yes
3: result: 29505, correct: 29505, passed: yes
4: result: 25049, correct: 25049, passed: yes
5: result: 11675, correct: 11675, passed: yes
6: result: 79292, correct: 79292, passed: yes
7: result: 41444, correct: 41444, passed: yes
8: result: 8467, correct: 8467, passed: yes
9: result: 84465, correct: 84465, passed: yes
10: result: 16705, correct: 16705, passed: yes
11: result: 76937, correct: 76937, passed: yes
12: result: 23955, correct: 23955, passed: yes
13: result: 28204, correct: 28204, passed: yes
14: result: 60052, correct: 60052, passed: yes
15: result: 62292, correct: 62292, passed: yes
16: result: 48779, correct: 48779, passed: yes
17: result: 82524, correct: 82524, passed: yes
18: result: 36110, correct: 36110, passed: yes
19: result: 62117, correct: 62117, passed: yes
20: result: 24663, correct: 24663, passed: yes
21: result: 50659, correct: 50659, passed: yes
22: result: 21506, correct: 21506, passed: yes
23: result: 71960, correct: 71960, passed: yes
24: result: 48954, correct: 48954, passed: yes
25: result: 30222, correct: 30222, passed: yes
26: result: 67034, correct: 67034, passed: yes
27: result: 36325, correct: 36325, passed: yes
28: result: 30867, correct: 30867, passed: yes
29: result: 46523, correct: 46523, passed: yes
30: result: 42578, correct: 42578, passed: yes
31: result: 8663, correct: 8663, passed: yes
32: result: 57048, correct: 57048, passed: yes
33: result: 71751, correct: 71751, passed: yes
34: result: 31380, correct: 31380, passed: yes
35: result: 52245, correct: 52245, passed: yes
36: result: 44881, correct: 44881, passed: yes
37: result: 5513, correct: 5513, passed: yes
38: result: 41330, correct: 41330, passed: yes
39: result: 88499, correct: 88499, passed: yes
40: result: 6337, correct: 6337, passed: yes
41: result: 70349, correct: 70349, passed: yes
42: result: 45477, correct: 45477, passed: yes
43: result: 22222, correct: 22222, passed: yes
44: result: 30918, correct: 30918, passed: yes
45: result: 48297, correct: 48297, passed: yes
46: result: 27183, correct: 27183, passed: yes
47: result: 17117, correct: 17117, passed: yes
48: result: 30837, correct: 30837, passed: yes
49: result: 65375, correct: 65375, passed: yes
50: result: 6473, correct: 6473, passed: yes
51: result: 18881, correct: 18881, passed: yes
52: result: 51969, correct: 51969, passed: yes
53: result: 23174, correct: 23174, passed: yes
54: result: 46288, correct: 46288, passed: yes
55: result: 40227, correct: 40227, passed: yes
56: result: 56824, correct: 56824, passed: yes
57: result: 43926, correct: 43926, passed: yes
58: result: 40293, correct: 40293, passed: yes
59: result: 37318, correct: 37318, passed: yes
60: result: 87541, correct: 87541, passed: yes
61: result: 53714, correct: 53714, passed: yes
62: result: 63589, correct: 63589, passed: yes
63: result: 45605, correct: 45605, passed: yes
64: result: 1012, correct: 1012, passed: yes
65: result: 58661, correct: 58661, passed: yes
66: result: 48516, correct: 48516, passed: yes
67: result: 91287, correct: 91287, passed: yes
68: result: 25268, correct: 25268, passed: yes
69: result: 31692, correct: 31692, passed: yes
70: result: 28705, correct: 28705, passed: yes
71: result: 81244, correct: 81244, passed: yes
72: result: 69561, correct: 69561, passed: yes
73: result: 48197, correct: 48197, passed: yes
74: result: 55783, correct: 55783, passed: yes
75: result: 41762, correct: 41762, passed: yes
76: result: 75235, correct: 75235, passed: yes
77: result: 53055, correct: 53055, passed: yes
78: result: 33529, correct: 33529, passed: yes
79: result: 15450, correct: 15450, passed: yes
80: result: 37231, correct: 37231, passed: yes
81: result: 58768, correct: 58768, passed: yes
82: result: 51641, correct: 51641, passed: yes
83: result: 12441, correct: 12441, passed: yes
