1: out: 10563380 cor: 10563380, passed: yes
2: out: 17072194 cor: 17072194, passed: yes
3: out: 653564 cor: 653564, passed: yes
4: out: 233179849 cor: 233179849, passed: yes
5: out: 3348044 cor: 3348044, passed: yes
6: out: -1 cor: -1, passed: yes
7: out: -1 cor: -1, passed: yes
8: out: 130048447 cor: 130048447, passed: yes
9: out: 65727696 cor: 65727696, passed: yes
10: out: -1 cor: -1, passed: yes
11: out: 2262336 cor: 2262336, passed: yes
12: out: 17167468 cor: 17167468, passed: yes
13: out: -1 cor: -1, passed: yes
14: out: -1 cor: -1, passed: yes
15: out: -1 cor: -1, passed: yes
16: out: -1 cor: -1, passed: yes
17: out: -1 cor: -1, passed: yes
18: out: 10470885 cor: 10470885, passed: yes
19: out: -1 cor: -1, passed: yes
20: out: -1 cor: -1, passed: yes
21: out: 590617 cor: 590617, passed: yes
22: out: -1 cor: -1, passed: yes
23: out: 191532784 cor: 191532784, passed: yes
24: out: -1 cor: -1, passed: yes
25: out: 143338912 cor: 143338912, passed: yes
26: out: -1 cor: -1, passed: yes
27: out: 3123822 cor: 3123822, passed: yes
28: out: 2477959 cor: 2477959, passed: yes
29: out: 93487021 cor: 93487021, passed: yes
30: out: 586530 cor: 586530, passed: yes
31: out: -1 cor: -1, passed: yes
32: out: 184697 cor: 184697, passed: yes
33: out: -1 cor: -1, passed: yes
34: out: 730248 cor: 730248, passed: yes
35: out: 25057955 cor: 25057955, passed: yes
36: out: 15870034 cor: 15870034, passed: yes
37: out: 51645385 cor: 51645385, passed: yes
38: out: 3223 cor: 3223, passed: yes
39: out: 4215851 cor: 4215851, passed: yes
40: out: 129375384 cor: 129375384, passed: yes
41: out: -1 cor: -1, passed: yes
42: out: 3215419 cor: 3215419, passed: yes
43: out: -1 cor: -1, passed: yes
44: out: 845618 cor: 845618, passed: yes
45: out: 141003962 cor: 141003962, passed: yes
46: out: -1 cor: -1, passed: yes
47: out: -1 cor: -1, passed: yes
48: out: -1 cor: -1, passed: yes
49: out: 32625170 cor: 32625170, passed: yes
50: out: 84200680 cor: 84200680, passed: yes
51: out: 2987208 cor: 2987208, passed: yes
52: out: -1 cor: -1, passed: yes
53: out: 945 cor: 945, passed: yes
54: out: 4112699 cor: 4112699, passed: yes
55: out: -1 cor: -1, passed: yes
56: out: 70520 cor: 70520, passed: yes
57: out: 105831300 cor: 105831300, passed: yes
58: out: 126329 cor: 126329, passed: yes
59: out: -1 cor: -1, passed: yes
60: out: 46498038 cor: 46498038, passed: yes
61: out: 7790 cor: 7790, passed: yes
62: out: 143141371 cor: 143141371, passed: yes
63: out: -1 cor: -1, passed: yes
64: out: 2248 cor: 2248, passed: yes
65: out: -1 cor: -1, passed: yes
66: out: -1 cor: -1, passed: yes
67: out: -1 cor: -1, passed: yes
68: out: 4673675 cor: 4673675, passed: yes
69: out: 1213238 cor: 1213238, passed: yes
70: out: 33211001 cor: 33211001, passed: yes
71: out: 197523528 cor: 197523528, passed: yes
72: out: -1 cor: -1, passed: yes
73: out: 17460463 cor: 17460463, passed: yes
74: out: -1 cor: -1, passed: yes
75: out: 4331103 cor: 4331103, passed: yes
76: out: 796 cor: 796, passed: yes
77: out: -1 cor: -1, passed: yes
78: out: -1 cor: -1, passed: yes
79: out: 52745341 cor: 52745341, passed: yes
80: out: -1 cor: -1, passed: yes
81: out: -1 cor: -1, passed: yes
82: out: 20428582 cor: 20428582, passed: yes
83: out: -1 cor: -1, passed: yes
84: out: 393061612 cor: 393061612, passed: yes
85: out: 290844714 cor: 290844714, passed: yes
86: out: 2207338 cor: 2207338, passed: yes
87: out: 46642742 cor: 46642742, passed: yes
88: out: -1 cor: -1, passed: yes
89: out: -1 cor: -1, passed: yes
90: out: 11032537 cor: 11032537, passed: yes
91: out: 14701 cor: 14701, passed: yes
92: out: 238057 cor: 238057, passed: yes
93: out: -1 cor: -1, passed: yes
94: out: -1 cor: -1, passed: yes
95: out: -1 cor: -1, passed: yes
96: out: 556712 cor: 556712, passed: yes
97: out: 53213805 cor: 53213805, passed: yes
98: out: 5305602 cor: 5305602, passed: yes
99: out: 19469947 cor: 19469947, passed: yes
100: out: 34470420 cor: 34470420, passed: yes
101: out: 2211163 cor: 2211163, passed: yes
102: out: -1 cor: -1, passed: yes
103: out: 388 cor: 388, passed: yes
104: out: 653992 cor: 653992, passed: yes
105: out: -1 cor: -1, passed: yes
106: out: 154906 cor: 154906, passed: yes
107: out: 11921314 cor: 11921314, passed: yes
108: out: -1 cor: -1, passed: yes
109: out: -1 cor: -1, passed: yes
110: out: 32416 cor: 32416, passed: yes
111: out: -1 cor: -1, passed: yes
112: out: 168987771 cor: 168987771, passed: yes
113: out: -1 cor: -1, passed: yes
114: out: -1 cor: -1, passed: yes
115: out: -1 cor: -1, passed: yes
116: out: 538762 cor: 538762, passed: yes
117: out: 12574464 cor: 12574464, passed: yes
118: out: -1 cor: -1, passed: yes
119: out: -1 cor: -1, passed: yes
120: out: -1 cor: -1, passed: yes
121: out: 192397719 cor: 192397719, passed: yes
122: out: -1 cor: -1, passed: yes
123: out: -1 cor: -1, passed: yes
124: out: 112775137 cor: 112775137, passed: yes
125: out: 1928966 cor: 1928966, passed: yes
126: out: 18909804 cor: 18909804, passed: yes
127: out: 16420938 cor: 16420938, passed: yes
128: out: -1 cor: -1, passed: yes
129: out: -1 cor: -1, passed: yes
130: out: -1 cor: -1, passed: yes
131: out: 77679466 cor: 77679466, passed: yes
132: out: 1233663 cor: 1233663, passed: yes
133: out: 41300945 cor: 41300945, passed: yes
134: out: 2617546 cor: 2617546, passed: yes
135: out: -1 cor: -1, passed: yes
136: out: -1 cor: -1, passed: yes
137: out: -1 cor: -1, passed: yes
138: out: 414453752 cor: 414453752, passed: yes
139: out: -1 cor: -1, passed: yes
140: out: -1 cor: -1, passed: yes
141: out: 193165 cor: 193165, passed: yes
142: out: 3339268 cor: 3339268, passed: yes
143: out: -1 cor: -1, passed: yes
144: out: -1 cor: -1, passed: yes
145: out: -1 cor: -1, passed: yes
146: out: 5898519 cor: 5898519, passed: yes
147: out: -1 cor: -1, passed: yes
148: out: 270604840 cor: 270604840, passed: yes
149: out: 87939784 cor: 87939784, passed: yes
150: out: 607110 cor: 607110, passed: yes
151: out: -1 cor: -1, passed: yes
152: out: 1098168 cor: 1098168, passed: yes
153: out: 379590 cor: 379590, passed: yes
154: out: 1207756 cor: 1207756, passed: yes
155: out: 89478 cor: 89478, passed: yes
156: out: 18504667 cor: 18504667, passed: yes
157: out: 30877727 cor: 30877727, passed: yes
158: out: 16344730 cor: 16344730, passed: yes
159: out: -1 cor: -1, passed: yes
160: out: 4047913 cor: 4047913, passed: yes
161: out: 68160 cor: 68160, passed: yes
162: out: 90359 cor: 90359, passed: yes
163: out: -1 cor: -1, passed: yes
164: out: 26329976 cor: 26329976, passed: yes
165: out: 42492 cor: 42492, passed: yes
166: out: -1 cor: -1, passed: yes
167: out: -1 cor: -1, passed: yes
168: out: -1 cor: -1, passed: yes
169: out: -1 cor: -1, passed: yes
170: out: 220431327 cor: 220431327, passed: yes
171: out: -1 cor: -1, passed: yes
172: out: -1 cor: -1, passed: yes
173: out: -1 cor: -1, passed: yes
174: out: -1 cor: -1, passed: yes
175: out: 0 cor: 0, passed: yes
176: out: 506441 cor: 506441, passed: yes
177: out: 2241 cor: 2241, passed: yes
178: out: -1 cor: -1, passed: yes
179: out: -1 cor: -1, passed: yes
180: out: 79103598 cor: 79103598, passed: yes
181: out: 65358 cor: 65358, passed: yes
182: out: 332343 cor: 332343, passed: yes
183: out: -1 cor: -1, passed: yes
184: out: 4161575 cor: 4161575, passed: yes
185: out: -1 cor: -1, passed: yes
186: out: 997323 cor: 997323, passed: yes
187: out: 87308 cor: 87308, passed: yes
188: out: 329179464 cor: 329179464, passed: yes
189: out: 55603 cor: 55603, passed: yes
190: out: -1 cor: -1, passed: yes
191: out: 924381 cor: 924381, passed: yes
192: out: 312807214 cor: 312807214, passed: yes
193: out: -1 cor: -1, passed: yes
194: out: -1 cor: -1, passed: yes
195: out: 97520467 cor: 97520467, passed: yes
196: out: 13723373 cor: 13723373, passed: yes
197: out: 119380476 cor: 119380476, passed: yes
198: out: 29691402 cor: 29691402, passed: yes
199: out: -1 cor: -1, passed: yes
200: out: 2068136 cor: 2068136, passed: yes
201: out: 1968465 cor: 1968465, passed: yes
202: out: 154513521 cor: 154513521, passed: yes
203: out: -1 cor: -1, passed: yes
204: out: 272573969 cor: 272573969, passed: yes
205: out: 16880633 cor: 16880633, passed: yes
206: out: 9342127 cor: 9342127, passed: yes
207: out: 475844 cor: 475844, passed: yes
208: out: -1 cor: -1, passed: yes
209: out: -1 cor: -1, passed: yes
210: out: 4210255 cor: 4210255, passed: yes
211: out: 1670281 cor: 1670281, passed: yes
212: out: -1 cor: -1, passed: yes
213: out: 20673 cor: 20673, passed: yes
214: out: 7089232 cor: 7089232, passed: yes
215: out: 79226111 cor: 79226111, passed: yes
216: out: -1 cor: -1, passed: yes
217: out: -1 cor: -1, passed: yes
218: out: 106285 cor: 106285, passed: yes
219: out: -1 cor: -1, passed: yes
220: out: 20109 cor: 20109, passed: yes
221: out: 122618908 cor: 122618908, passed: yes
222: out: 10645 cor: 10645, passed: yes
223: out: 2335571 cor: 2335571, passed: yes
224: out: 17119350 cor: 17119350, passed: yes
225: out: -1 cor: -1, passed: yes
226: out: 157045177 cor: 157045177, passed: yes
227: out: 2155784 cor: 2155784, passed: yes
228: out: -1 cor: -1, passed: yes
229: out: 49197 cor: 49197, passed: yes
230: out: 6527 cor: 6527, passed: yes
231: out: -1 cor: -1, passed: yes
232: out: 2354957 cor: 2354957, passed: yes
233: out: 100221904 cor: 100221904, passed: yes
234: out: 38282694 cor: 38282694, passed: yes
235: out: 158744348 cor: 158744348, passed: yes
236: out: -1 cor: -1, passed: yes
237: out: 67 cor: 67, passed: yes
238: out: 7143 cor: 7143, passed: yes
239: out: 516008093 cor: 516008093, passed: yes
240: out: 2655 cor: 2655, passed: yes
241: out: 2972320 cor: 2972320, passed: yes
242: out: -1 cor: -1, passed: yes
243: out: -1 cor: -1, passed: yes
244: out: 690528 cor: 690528, passed: yes
245: out: 10942 cor: 10942, passed: yes
246: out: 8899667 cor: 8899667, passed: yes
